suratptrid,Shape,From,To,SRTPointer,Con,CertCost,last_modifiedby,last_modified_date
210,10,0.5,0.54,0.50-0.54,Marquise0.50-0.54,86,1,now()
211,10,0.55,0.59,0.55-0.59,Marquise0.55-0.59,78.18181818,1,now()
212,10,0.6,0.69,0.60-0.69,Marquise0.60-0.69,71.66666667,1,now()
213,10,0.7,0.74,0.70-0.74,Marquise0.70-0.74,74.28571429,1,now()
214,10,0.75,0.79,0.75-0.79,Marquise0.75-0.79,69.33333333,1,now()
215,10,0.8,0.89,0.80-0.89,Marquise0.80-0.89,65,1,now()
216,10,0.9,0.94,0.90-0.94,Marquise0.90-0.94,57.77777778,1,now()
217,10,0.95,0.99,0.95-0.99,Marquise0.95-0.99,54.73684211,1,now()
218,10,1,1.04,1.00-1.04,Marquise1.00-1.04,126,1,now()
219,10,1.05,1.1,1.05-1.10,Marquise1.05-1.10,120,1,now()
220,10,1.11,1.19,1.11-1.19,Marquise1.11-1.19,113.5135135,1,now()
221,10,1.2,1.39,1.20-1.39,Marquise1.20-1.39,109.1666667,1,now()
222,10,1.4,1.44,1.40-1.44,Marquise1.40-1.44,93.57142857,1,now()
223,10,1.45,1.49,1.45-1.49,Marquise1.45-1.49,90.34482759,1,now()
224,10,1.5,1.69,1.50-1.69,Marquise1.50-1.69,98,1,now()
225,10,1.7,1.79,1.70-1.79,Marquise1.70-1.79,86.47058824,1,now()
226,10,1.8,1.94,1.80-1.94,Marquise1.80-1.94,81.66666667,1,now()
227,10,1.95,1.99,1.95-1.99,Marquise1.95-1.99,75.38461538,1,now()
228,10,2,2.2,2.00-2.20,Marquise2.00-2.20,102.5,1,now()
229,10,2.21,2.39,2.21-2.39,Marquise2.21-2.39,92.760181,1,now()
230,10,2.4,2.49,2.40-2.49,Marquise2.40-2.49,85.41666667,1,now()
231,10,2.5,2.69,2.50-2.69,Marquise2.50-2.69,82,1,now()
232,10,2.7,2.79,2.70-2.79,Marquise2.70-2.79,75.92592593,1,now()
233,10,2.8,2.94,2.80-2.94,Marquise2.80-2.94,73.21428571,1,now()
234,10,2.95,2.99,2.95-2.99,Marquise2.95-2.99,69.49152542,1,now()
235,10,3,3.99,3.00-3.99,Marquise3.00-3.99,99.66666667,1,now()
236,10,4,4.99,4.00-4.99,Marquise4.00-4.99,100,1,now()
237,10,5,5.99,5.00-5.99,Marquise5.00-5.99,113.6,1,now()
238,7,0.5,0.69,0.50-0.69,70.50-0.69,86,1,now()
239,7,0.7,0.79,0.70-0.79,70.70-0.79,74,1,now()
240,7,0.8,0.89,0.80-0.89,70.80-0.89,65,1,now()
241,7,0.9,0.94,0.90-0.94,70.90-0.94,58,1,now()
242,7,0.95,0.96,0.95-0.96,70.95-0.96,55,1,now()
243,7,0.97,0.99,0.97-0.99,70.97-0.99,54,1,now()
244,7,1,1.1,1.00-1.10,71.00-1.10,123,1,now()
245,7,1.11,1.22,1.11-1.22,71.11-1.22,114,1,now()
246,7,1.23,1.44,1.23-1.44,71.23-1.44,107,1,now()
247,7,1.45,1.49,1.45-1.49,71.45-1.49,90,1,now()
248,7,1.5,1.72,1.50-1.72,71.50-1.72,98,1,now()
249,7,1.73,1.96,1.73-1.96,71.73-1.96,85,1,now()
250,7,1.97,1.99,1.97-1.99,71.97-1.99,75,1,now()
251,7,2,2.22,2.00-2.22,72.00-2.22,103,1,now()
252,7,2.23,2.49,2.23-2.49,72.23-2.49,92,1,now()
253,7,2.5,2.72,2.50-2.72,72.50-2.72,82,1,now()
254,7,2.73,2.99,2.73-2.99,72.73-2.99,75,1,now()
255,7,3,3.99,3.00-3.99,73.00-3.99,100,1,now()
256,7,4,4.99,4.00-4.99,74.00-4.99,100,1,now()
257,7,5,5.99,5.00-5.99,75.00-5.99,114,1,now()
